2026-05-04 08:34:20.116 SNAPSHOT inicial: 95 plugins habilitados
2026-05-04 08:34:20.116 PRESENT  id=com.intellij version=253.29346.138
2026-05-04 08:34:20.117 PRESENT  id=com.intellij.notebooks.core version=253.29346.138
2026-05-04 08:34:20.117 PRESENT  id=com.intellij.debugger.collections.visualizer version=253.29346.138
2026-05-04 08:34:20.117 PRESENT  id=org.jetbrains.plugins.yaml version=253.29346.138
2026-05-04 08:34:20.118 PRESENT  id=com.intellij.database version=253.29346.138
2026-05-04 08:34:20.118 PRESENT  id=com.intellij.dev version=253.29346.138
2026-05-04 08:34:20.118 PRESENT  id=com.android.tools.gradle.dcl version=253.29346.138
2026-05-04 08:34:20.119 PRESENT  id=com.intellij.java version=253.29346.138
2026-05-04 08:34:20.119 PRESENT  id=com.jetbrains.sh version=253.29346.138
2026-05-04 08:34:20.120 PRESENT  id=org.intellij.qodana version=253.29346.138
2026-05-04 08:34:20.120 PRESENT  id=org.jetbrains.completion.full.line version=253.29346.138
2026-05-04 08:34:20.120 PRESENT  id=hg4idea version=253.29346.138
2026-05-04 08:34:20.121 PRESENT  id=com.intellij.ja version=253.29346.138
2026-05-04 08:34:20.121 PRESENT  id=manjaro.mpb version=1.9
2026-05-04 08:34:20.121 PRESENT  id=org.editorconfig.editorconfigjetbrains version=253.29346.138
2026-05-04 08:34:20.122 PRESENT  id=com.intellij.zh version=253.29346.138
2026-05-04 08:34:20.122 PRESENT  id=training version=253.29346.138
2026-05-04 08:34:20.128 PRESENT  id=JavaScriptDebugger version=253.29346.138
2026-05-04 08:34:20.129 PRESENT  id=com.intellij.diagram version=253.29346.138
2026-05-04 08:34:20.129 PRESENT  id=org.toml.lang version=253.29346.138
2026-05-04 08:34:20.129 PRESENT  id=com.jetbrains.performancePlugin version=253.29346.138
2026-05-04 08:34:20.130 PRESENT  id=idea.plugin.protoeditor version=253.29346.138
2026-05-04 08:34:20.131 PRESENT  id=com.intellij.ko version=253.29346.138
2026-05-04 08:34:20.131 PRESENT  id=Subversion version=253.29346.138
2026-05-04 08:34:20.131 PRESENT  id=org.jetbrains.idea.reposearch version=253.29346.138
2026-05-04 08:34:20.132 PRESENT  id=org.jetbrains.plugins.textmate version=253.29346.138
2026-05-04 08:34:20.132 PRESENT  id=HtmlTools version=253.29346.138
2026-05-04 08:34:20.132 PRESENT  id=com.intellij.platform.images version=253.29346.138
2026-05-04 08:34:20.133 PRESENT  id=com.intellij.copyright version=253.29346.138
2026-05-04 08:34:20.133 PRESENT  id=org.jetbrains.debugger.streams version=253.29346.138
2026-05-04 08:34:20.134 PRESENT  id=com.intellij.javaee version=253.29346.138
2026-05-04 08:34:20.135 PRESENT  id=ByteCodeViewer version=253.29346.138
2026-05-04 08:34:20.135 PRESENT  id=com.intellij.java.ide version=253.29346.138
2026-05-04 08:34:20.135 PRESENT  id=com.intellij.kubernetes version=253.29346.138
2026-05-04 08:34:20.136 PRESENT  id=com.intellij.modules.json version=253.29346.138
2026-05-04 08:34:20.136 PRESENT  id=com.intellij.searcheverywhere.ml version=253.29346.138
2026-05-04 08:34:20.136 PRESENT  id=com.intellij.findusages.ml version=253.29346.138
2026-05-04 08:34:20.137 PRESENT  id=com.intellij.jsonpath version=253.29346.138
2026-05-04 08:34:20.137 PRESENT  id=com.intellij.configurationScript version=253.29346.138
2026-05-04 08:34:20.137 PRESENT  id=com.intellij.code.provenance version=253.29346.138
2026-05-04 08:34:20.138 PRESENT  id=intellij.git.commit.modal version=253.29346.138
2026-05-04 08:34:20.138 PRESENT  id=com.intellij.spring version=253.29346.138
2026-05-04 08:34:20.138 PRESENT  id=org.intellij.plugins.markdown version=253.29346.138
2026-05-04 08:34:20.139 PRESENT  id=Lombook Plugin version=253.29346.138
2026-05-04 08:34:20.139 PRESENT  id=org.jetbrains.java.decompiler version=253.29346.138
2026-05-04 08:34:20.139 PRESENT  id=org.jetbrains.idea.eclipse version=253.29346.138
2026-05-04 08:34:20.140 PRESENT  id=TestNG-J version=253.29346.138
2026-05-04 08:34:20.140 PRESENT  id=org.jetbrains.plugins.terminal version=253.29346.138
